document,label
Armamos unos estantes en clase para los libros. Me gustó trabajar en equipo y ver el resultado.,TRUE
Construí una banca con mi abuelo. Quedó firme y hasta ahora la usamos en casa.,TRUE
"Estuve presente, pero no hice mucho. No me sentía segura usando herramientas.",FALSE
"No he ayudado en algo así, siempre me toca hacer la parte teórica o decorativa.",FALSE
"No me sentí muy cómodo, la verdad. Me costó seguir las indicaciones y preferí retirarme.",FALSE
Lo intenté una vez pero me frustré. Al final terminé observando desde un lado.,FALSE
"No se me da bien. Me estreso cuando hay que usar clavos, martillos o cosas de precisión",FALSE
"Prefiero acción. Las ideas son buenas, pero hacerlas es mejor.",TRUE
"Me cuesta quedarme solo leyendo, así que cuando hacemos cosas con las manos aprendo más rápido.",TRUE
"Siento que lo práctico se me queda en la mente. Cuando solo es teoría, se me borra rápido.",TRUE
"Disfruto más cuando armo, pruebo o ensayo algo. Ahí siento que entiendo mejor.",TRUE
Todo lo que sea hacer en vez de memorizar me motiva más.,TRUE
Me gusta investigar y leer. Me siento más cómoda en clases donde hay más explicación que acción.,FALSE
Prefiero lo teórico porque me gusta analizar y escribir. Las cosas prácticas me agotan.,FALSE
Lo práctico me cuesta. Siempre siento que me falta coordinación o que hago algo mal.,FALSE
Entiendo mejor cuando el profesor explica bien y luego reviso todo en mi cuaderno. Las prácticas a veces me distraen.,FALSE
No me siento tan confiado haciendo cosas. Me gusta más pensar y planear que ejecutar.,FALSE
En vacaciones me quedé investigando cómo funcionan los eclipses. Vi tres videos y hasta armé un esquema en mi cuaderno para explicarlo.,TRUE
"Siempre me ha picado la curiosidad sobre los insectos. Busqué infos de hormigas, dibujé su colonia y lo mostré en clase.",TRUE
Investigué por mi cuenta qué hace un ingeniero civil. Leí blogs y ví videos sobre construir puentes.,TRUE
Me intriga el comportamiento humano. Leí un artículo sobre redes sociales y cómo afectan el ánimo de los jóvenes.,TRUE
Siempre tengo preguntas sobre química: cómo se mezclan los colores o qué pasa cuando juntas sustancias.,TRUE
No suelo investigar mucho fuera de clase; prefiero que me lo expliquen en el cole o en el profe.,FALSE
Me da pereza buscar información por mi cuenta; la mayoría la reviso solo para tareas.,FALSE
No me llama la atención investigar. Me contento con lo que vemos en clases.,FALSE
"Nunca he buscado nada por curiosidad, siempre lo hago solo para cumplir trabajos.",FALSE
No estoy entre los curiosos que investigan solitos; para mí es más importante hacer bien las que me asignan.,FALSE
Hice un experimento con plantas y luz para comparar su crecimiento. Fue chévere verlo en fotos.,TRUE
Me gusta resolver acertijos de lógica en el celular antes de dormir. Me activa el cerebro.,TRUE
"Construí una pila casera para encender un LED, usando limones y cables.",TRUE
Armé un circuito básico con un bombillo pequeño y se iluminó. Me sentí como un pequeño científico.,TRUE
Me entretiene desmontar cosas viejas para entender cómo funcionan.,TRUE
No soy fan de experimentos. Prefiero leer las explicaciones y quedarme con eso.,FALSE
Los acertijos me estresan más que divertirme; me frustro cuando no los resuelvo.,FALSE
No me concentro en detalles prácticos; me da flojera hacer experimentos.,FALSE
"Entender cómo funciona algo me gusta, pero no me imagino haciendo un experimento.",FALSE
Me siento más a gusto leyendo libros o resúmenes que haciendo ensayo y error.,FALSE
"Sí, me gusta buscar info por mi cuenta y luego explicarla en clase. Me siento más segura cuando sé de lo que hablo.",TRUE
"Cuando hacemos trabajos en grupo donde hay que investigar, siempre soy el que busca en internet y organiza todo.",TRUE
"Siento que aprendo más cuando investigo. No solo copio, trato de entender y ponerlo con mis palabras.",TRUE
"Sí, sobre todo si el tema me interesa. Una vez investigamos sobre volcanes y me metí hasta a ver documentales.",TRUE
Me gusta porque así me adelanto a lo que va a venir. A veces encuentro cosas que ni el profe menciona.,TRUE
"No mucho, prefiero que nos expliquen todo bien en clase. Me aburre estar buscando tanto.",FALSE
Siento que muchas veces uno solo copia y pega y ni entiende. Prefiero aprender con ejemplos.,FALSE
"Solo lo hago por nota, pero no es que me entusiasme. Me estresa buscar fuentes y armar los textos.",FALSE
"No soy muy bueno investigando, siempre termino confundido con tanta información.",FALSE
No le veo mucho sentido. A veces los profes ni revisan si lo investigaste bien.,FALSE
"Sí, en clase de matemáticas nadie entendía un ejercicio y yo lo resolví con un método diferente. El profe me felicitó.",TRUE
Mi grupo no sabía cómo presentar un tema aburrido. Propuse hacer una obra y todos se engancharon. Sacamos buena nota.,TRUE
Tenía problemas para organizarme con las tareas. Hice un horario por colores y ahora me va mejor.,TRUE
"Una vez el profe no entendía mi punto en un debate, así que busqué más info y lo convencí con argumentos claros.",TRUE
"Mi laptop se malogró un día antes de la exposición. Conseguí otra, pasé todo y al final salió bien.",TRUE
"Cuando se me complica algo, prefiero dejarlo o pedir ayuda. Me cuesta mucho resolver sola.",FALSE
"Cuando hay líos en mi grupo, casi nunca sé qué hacer. Me callo nomás y dejo que otros lo arreglen.",FALSE
"Prefiero hacer las cosas simples y rápidas, si puedo evitar esas situaciones las evito.",FALSE
"No me gusta complicarme. Si algo no sale, trato de hacer otra cosa más fácil.",FALSE
"Siempre he querido tocar guitarra. Si tuviera tiempo, me metería a clases de una.",TRUE
Quiero aprender cómo se programa una app. Siento que eso es el futuro.,TRUE
Aprendería a cocinar postres. Me encanta ver recetas en TikTok.,TRUE
Me interesa el lenguaje de señas. Quisiera comunicarme con personas sordas.,TRUE
"Cuando tengo tiempo libre, prefiero descansar. No me provoca aprender nada nuevo.",FALSE
Siento que ya tengo demasiadas cosas en la cabeza como para ponerme a aprender algo más.,FALSE
"No sé qué me gustaría aprender. En realidad, nada me llama mucho la atención ahora.",FALSE
Prefiero jugar en línea o ver series cuando tengo tiempo libre. Aprender no está en mis planes por ahora.,FALSE
"La verdad, me da flojera. Solo quiero relajarme cuando no tengo tareas.",FALSE
"Escribí un poema y lo leí en clase. Me dio nervios, pero después todos aplaudieron.",TRUE
Dibujé a mi perrito y lo subí a Instagram. Varios me dijeron que parecía de verdad.,TRUE
Con unos amigos hicimos un cortometraje para un concurso. Fue súper divertido.,TRUE
Diseñé una portada de cuaderno con frases motivadoras. Me gustó cómo quedó.,TRUE
Compuse una canción sobre lo que sentí cuando murió mi abuelo. Me ayudó a desahogarme.,TRUE
"No soy bueno en cosas creativas. Siempre que intento dibujar o escribir, me frustro.",FALSE
No me nace hacer cosas artísticas. Siento que no tengo ese talento.,FALSE
"Me da roche mostrar lo que hago, así que nunca termino nada creativo.",FALSE
"Una vez traté de escribir una historia, pero no me gustó cómo quedó y la borré.",FALSE
Prefiero hacer cosas más prácticas. Lo creativo no es lo mío.,FALSE
"Cuando estoy feliz hablo un montón. Si estoy triste, escribo en mi diario. Me ayuda a soltarlo todo.",TRUE
"A veces canto sin querer cuando estoy de buen humor. Cuando estoy triste, me encierro un rato y luego se me pasa.",TRUE
"Si estoy emocionado, salto, grito o río fuerte. Soy bien expresivo.",TRUE
"Depende, pero por lo general me gusta hablar con alguien de confianza. Eso me ayuda mucho.",TRUE
"Dibujo mis emociones. Si estoy triste, los colores cambian sin que me dé cuenta.",TRUE
No me gusta hablar de cómo me siento. Me lo guardo y ya.,FALSE
Me cuesta expresar lo que siento. A veces ni yo entiendo por qué estoy así.,FALSE
"No lo digo, solo cambio de actitud y si me preguntan, digo que estoy bien.",FALSE
"Evito mostrar emociones, solo sonrío o me distraigo con algo.",FALSE
Prefiero no expresarme. Me da vergüenza que los demás sepan cómo me siento,FALSE
Me gusta dibujar personajes. A veces invento cómics y se los paso a mis patas por WhatsApp.,TRUE
"Hago letras de canciones en mi cuaderno. Son como rap o trap, depende cómo me sienta ese día.",TRUE
Edito videos para mi cuenta de TikTok. Uso CapCut y me gusta que se vean bien pro.,TRUE
"Me encanta escribir cuentos raros, tipo misterio o cosas tristes. Los guardo todos en una carpeta.",TRUE
"Hago dibujos con plumones, a veces de anime, y los pego en la pared de mi cuarto.",TRUE
"No hago nada de eso, la verdad. No se me da lo artístico, soy más práctico.",FALSE
Intenté escribir una historia pero no me salía. Me aburrí y lo dejé.,FALSE
"No me llama la atención editar ni hacer música. Prefiero ver los videos, no hacerlos.",FALSE
Nunca he dibujado nada en serio. Solo garabateo en los márgenes del cuaderno cuando me aburro.,FALSE
Lo artístico no es lo mío. Me cuesta expresar cosas de esa forma.,FALSE
Bailar. Me encanta el folclore y no necesito que me paguen para disfrutarlo.,TRUE
"Tocar cajón. Me gusta mucho el sonido y lo hago cada vez que hay chance, hasta en clase.",TRUE
"Dibujar retratos de mis amigos. Lo hago por gusto, a veces hasta en clase mientras espero al profe.",TRUE
"Escribir canciones. Me ayuda a desahogarme, aunque nadie las escuche.",TRUE
Diseñar ropa. A veces dibujo outfits y pienso cómo serían en la vida real.,TRUE
"Si no hay pago o una nota, no me motiva. Me gusta cuando hay un objetivo claro.",FALSE
No haría actividades artísticas por gusto. Prefiero invertir mi tiempo en otras cosas.,FALSE
Lo artístico nunca me ha llamado la atención. Me gusta más lo lógico o técnico.,FALSE
No se me ocurre ninguna actividad así. No soy muy creativo.,FALSE
No le veo sentido a hacer arte si nadie lo ve o lo valora. Me desanimo rápido.,FALSE
Que cringe hacer esas cosas en público.,FALSE
"Sí, cuando me dejan elegir cómo presentar un trabajo (video, dibujo, etc.), lo hago con más ganas.",TRUE
"Siento que si no puedo expresarme, me bloqueo. Me gusta tener espacio para ser yo sin sentir que está mal.",TRUE
"Me gusta decir lo que pienso, con respeto. Si me lo guardo, siento que no soy yo.",TRUE
"Sí, en mis dibujos muestro cómo me siento, aunque no lo diga en palabras.",TRUE
"Necesito libertad en mi ropa, en lo que escucho, hasta en cómo decoro mi carpeta. Me representa.",TRUE
"No pienso mucho en eso. Mientras cumpla con lo que me piden, todo bien.",FALSE
No me importa tanto expresarme. Prefiero pasar desapercibido.,FALSE
A veces siento cosas pero no las digo. Me da miedo que piensen mal de mí.,FALSE
Expresarme no es tan importante para mí. Hago lo que toca y ya.,FALSE
"No necesito tanta libertad, me acomodo a lo que hay y listo.",FALSE
